 CMS collision Energy =    13000.000000000000     
 Collider type = pp
 ======================================
 Factorization scale                =    135.00000000000000     
 Renormalization scale              =    135.00000000000000     
 ==================================
 NLO QCD + NLO EW Cross-Section
 ======================================
 EW input parameters: Gmu scheme
 Fermi constant (1/GeV^2)           =    1.1663700000000000E-005
 ======================================
 Lepton mass (GeV)                  =   0.10500000000000000     
 W mass (GeV)                       =    80.403000000000006     
 W width (GeV)                      =    2.1410000000000000     
 Z mass (GeV)                       =    91.187600000000003     
 Z width (GeV)                      =    2.4952000000000001     
 Top mass (GeV)                     =    172.90000000000001     
 Higgs mass (GeV)                   =    125.00000000000000     
 ======================================
 Strong coupling                    =   0.11141475266772986     
 PDF set = CT14qed_inc_proton                                          
 ======================================
 Z pole focus OFF
 Lower M limit for non-Zpole     =    110.00000000000000     
 Upper M limit for non-Zpole     =    160.00000000000000     
 ======================================
 Lepton-pair invariant mass minimum =    110.00000000000000     
 Lepton-pair invariant mass maximum =    160.00000000000000     
 Transverse mass minimum            =    0.0000000000000000     
 Transverse mass maximum            =    100000.00000000000     
 Z pT minimum                       =    0.0000000000000000     
 Z pT maximum                       =    100000.00000000000     
 Z rapidity minimum                 =   -2.3999999999999999     
 Z rapidity maximum                 =    2.3999999999999999     
 Lepton pT minimum                  =    0.0000000000000000     
 Lepton pT maximum                  =    100000.00000000000     
 Anti-lepton pT minimum             =    0.0000000000000000     
 Anti-lepton pT maximum             =    100000.00000000000     
 Lepton eta absolute value?         =   T
 Lepton pseudorapidity minimum      =    0.0000000000000000     
 Lepton pseudorapidity maximum      =    100.00000000000000     
 Anti-lepton eta absolute value?    =   T
 Anti-lepton pseudorapidity minimum =    0.0000000000000000     
 Anti-lepton pseudorapidity maximum =    100.00000000000000     
 ======================================
 Photon Recombination Cone Size     =      0.0000000000000000     
 Minimum pT for Observable Photon   =   0.50000000000000000     
 Maximum eta for Observable Photon  =    2.5000000000000000     
 Minimum Number of Photon           =             0
 Maximum Number of Photon           =             1
 ======================================
 Jet merging algorithm              =   akta
 Jet algorithm cone size (deltaR)   =   0.40000000000000002     
 parton-parton Rsep (cone algo only)=    1.3000000000000000     
 Minimum pT for Observable Jets     =    1.0000000000000000     
 Maximum eta for Observable Jets    =    4.7000000000000002     
 Minimum Number of Jets             =             1
 Maximum Number of Jets             =             1
 Leading jet pT minimum             =    60.000000000000000     
 ======================================
 Lep-Anti-lep deltaR minimum        =    0.0000000000000000     
 Lep-Anti-lep deltaPhi minimum      =    0.0000000000000000     
 Lep-Anti-lep deltaPhi maximum      =    4.0000000000000000     
 Lep-Jet deltaR minimum             =    0.0000000000000000     
 Lep-Photon deltaR minimum          =    0.0000000000000000     
 ======================================
 Rapidity of Z cutoff for CS angles =    0.0000000000000000     
 
 ===========   VEGAS PARAMETERS   ========
 
 Maximum number of evaluations      =    200000000
 Actual number of evaluations       =    103950000
 Requested relative precision (%)   =    1.0000000000000000E-002
 Requested absolute precision       =    0.0000000000000000     
 Total integration time (sec)       =    20027.000000000000     
 Random number seed                 =           74
 
 ===========   RESULT    =================
 
 Sigma (pb)                  =    1.0387581678616249
 Integration Error (pb)      =    1.0372003523239871E-004
 PDF Error (pb)              +             0
                             -     0.0193267
 
 ===========   HISTOGRAMS    =================
      bin           weight    numerical error       + pdf error       - pdf error

  ----   Z/W pT         ----

     2.50         0.0000000         0.0000000                 0                 0
     7.50         0.0000000         0.0000000                 0                 0
    12.50         0.0000000         0.0000000                 0                 0
    17.50         0.0000000         0.0000000                 0                 0
    22.50         0.0000000         0.0000000                 0                 0
    27.50         0.0000000         0.0000000                 0                 0
    32.50         0.0000000         0.0000000                 0                 0
    37.50         0.0000000         0.0000000                 0                 0
    42.50         0.0000000         0.0000000                 0                 0
    47.50         0.0000000         0.0000000                 0                 0
    52.50         0.0000000         0.0000000                 0                 0
    57.50    0.38057944E-02    0.67748785E-05                 0       7.45315e-05
    62.50        0.12824448    0.56642513E-04                 0        0.00250147
    67.50        0.11192288    0.46057847E-04                 0        0.00216689
    72.50    0.95590334E-01    0.39798562E-04                 0        0.00183743
    77.50    0.81977364E-01    0.35197500E-04                 0          0.001565
    82.50    0.70703541E-01    0.31602352E-04                 0        0.00134113
    87.50    0.61206486E-01    0.28625458E-04                 0        0.00115388
    92.50    0.53188923E-01    0.26137885E-04                 0       0.000996948
    97.50    0.46324869E-01    0.23934628E-04                 0       0.000863448
   102.50    0.40559833E-01    0.22010292E-04                 0       0.000751816
   107.50    0.35539936E-01    0.20306810E-04                 0       0.000655447
   112.50    0.31298622E-01    0.18791655E-04                 0       0.000573998
   117.50    0.27673919E-01    0.17480605E-04                 0       0.000504782
   122.50    0.24431425E-01    0.16184815E-04                 0        0.00044359
   127.50    0.21650810E-01    0.15067857E-04                 0       0.000391143
   132.50    0.19240466E-01    0.14054967E-04                 0       0.000345974
   137.50    0.17134721E-01    0.13125183E-04                 0       0.000306523
   142.50    0.15270555E-01    0.12289346E-04                 0       0.000271927
   147.50    0.13680407E-01    0.11521885E-04                 0       0.000242503
   152.50    0.12236579E-01    0.10813541E-04                 0       0.000215902
   157.50    0.10994694E-01    0.10172494E-04                 0       0.000192984
   162.50    0.98894021E-02    0.95569888E-05                 0        0.00017285
   167.50    0.88922816E-02    0.89948854E-05                 0       0.000154754
   172.50    0.80224675E-02    0.84869518E-05                 0       0.000138998
   177.50    0.72709431E-02    0.80356774E-05                 0       0.000125352
   182.50    0.65651254E-02    0.75884304E-05                 0       0.000112736
   187.50    0.59420370E-02    0.71601808E-05                 0       0.000101647
   192.50    0.54038518E-02    0.67950878E-05                 0       9.20444e-05
   197.50    0.49185450E-02    0.65581750E-05                 0       8.33069e-05

  ----   Z/W rapidity   ----

    -2.30    0.54188971E-02    0.10181960E-04                 0       7.63512e-05
    -2.10    0.16540173E-01    0.15832699E-04                 0       0.000249694
    -1.90    0.26785210E-01    0.18120350E-04                 0        0.00043171
    -1.70    0.35281614E-01    0.19125980E-04                 0        0.00060049
    -1.50    0.42214546E-01    0.19603664E-04                 0       0.000750458
    -1.30    0.47651849E-01    0.19573987E-04                 0       0.000875136
    -1.10    0.51912644E-01    0.19559886E-04                 0       0.000976644
    -0.90    0.55166234E-01    0.19450226E-04                 0        0.00105542
    -0.70    0.57581200E-01    0.19356077E-04                 0        0.00111361
    -0.50    0.59297730E-01    0.19336566E-04                 0        0.00115507
    -0.30    0.60465911E-01    0.19276722E-04                 0        0.00118247
    -0.10    0.61057539E-01    0.19592177E-04                 0        0.00119613
     0.10    0.61064541E-01    0.20401982E-04                 0        0.00119628
     0.30    0.60477790E-01    0.19111691E-04                 0        0.00118279
     0.50    0.59285641E-01    0.18846461E-04                 0        0.00115477
     0.70    0.57597025E-01    0.18864277E-04                 0        0.00111402
     0.90    0.55163467E-01    0.18809600E-04                 0        0.00105538
     1.10    0.51909685E-01    0.18810170E-04                 0       0.000976569
     1.30    0.47656064E-01    0.18757983E-04                 0       0.000875234
     1.50    0.42194088E-01    0.18609554E-04                 0       0.000749905
     1.70    0.35295414E-01    0.18229223E-04                 0       0.000600784
     1.90    0.26796761E-01    0.17312005E-04                 0       0.000431989
     2.10    0.16528897E-01    0.15096221E-04                 0       0.000249479
     2.30    0.54138736E-02    0.96938777E-05                 0       7.62143e-05

  ----   Q_ll Invaria   ----

   110.50    0.60594979E-01    0.34477193E-04                 0        0.00113228
   111.50    0.55565670E-01    0.32353552E-04                 0        0.00103801
   112.50    0.51252716E-01    0.31050669E-04                 0       0.000956977
   113.50    0.47447217E-01    0.29830959E-04                 0       0.000885454
   114.50    0.44028263E-01    0.28740829E-04                 0       0.000821386
   115.50    0.41057627E-01    0.27694007E-04                 0       0.000765592
   116.50    0.38400348E-01    0.26775419E-04                 0       0.000715851
   117.50    0.36022303E-01    0.25892235E-04                 0        0.00067106
   118.50    0.33904581E-01    0.25082964E-04                 0       0.000631268
   119.50    0.31938950E-01    0.24319732E-04                 0       0.000594734
   120.50    0.30166889E-01    0.23606979E-04                 0       0.000561539
   121.50    0.28551248E-01    0.22950595E-04                 0         0.0005314
   122.50    0.27097518E-01    0.22365287E-04                 0       0.000504097
   123.50    0.25748595E-01    0.21760660E-04                 0       0.000478735
   124.50    0.24518618E-01    0.21222380E-04                 0       0.000455875
   125.50    0.23305098E-01    0.20683577E-04                 0       0.000433214
   126.50    0.22275490E-01    0.20230371E-04                 0       0.000413842
   127.50    0.21295849E-01    0.19759779E-04                 0       0.000395652
   128.50    0.20361125E-01    0.19305236E-04                 0       0.000378201
   129.50    0.19505172E-01    0.18915228E-04                 0       0.000362087
   130.50    0.18722527E-01    0.18509577E-04                 0       0.000347561
   131.50    0.17991179E-01    0.18143545E-04                 0       0.000333916
   132.50    0.17236083E-01    0.17746907E-04                 0       0.000319843
   133.50    0.16590416E-01    0.17428108E-04                 0       0.000307828
   134.50    0.15988491E-01    0.17109125E-04                 0       0.000296779
   135.50    0.15401066E-01    0.16802341E-04                 0        0.00028574
   136.50    0.14854299E-01    0.16506473E-04                 0       0.000275509
   137.50    0.14333937E-01    0.16227541E-04                 0       0.000265935
   138.50    0.13865711E-01    0.15948979E-04                 0       0.000257257
   139.50    0.13379401E-01    0.15684590E-04                 0       0.000248182
   140.50    0.12936704E-01    0.15420152E-04                 0       0.000240013
   141.50    0.12511843E-01    0.15191505E-04                 0        0.00023197
   142.50    0.12121276E-01    0.14966304E-04                 0       0.000224876
   143.50    0.11744206E-01    0.14756813E-04                 0       0.000217728
   144.50    0.11348362E-01    0.14535680E-04                 0       0.000210402
   145.50    0.11039070E-01    0.14341239E-04                 0       0.000204708
   146.50    0.10685377E-01    0.14129376E-04                 0       0.000198199
   147.50    0.10400267E-01    0.14026306E-04                 0       0.000192902
   148.50    0.10088682E-01    0.13819158E-04                 0       0.000187143
   149.50    0.98258978E-02    0.13722480E-04                 0       0.000182293
   150.50    0.95425895E-02    0.13594393E-04                 0       0.000177006
   151.50    0.92700797E-02    0.13441747E-04                 0       0.000171927
   152.50    0.90310116E-02    0.13345811E-04                 0        0.00016754
   153.50    0.87929876E-02    0.13253855E-04                 0       0.000163034
   154.50    0.85458845E-02    0.13176477E-04                 0        0.00015863
   155.50    0.83262668E-02    0.12885763E-04                 0       0.000154458
   156.50    0.81055914E-02    0.13033932E-04                 0       0.000150426
   157.50    0.78788877E-02    0.12875992E-04                 0       0.000146326
   158.50    0.76887275E-02    0.12459031E-04                 0        0.00014268
   159.50    0.74748709E-02    0.13111932E-04                 0       0.000138796

  ----   l-/lep. pT     ----

     2.50         0.0000000         0.0000000                 0                 0
     7.50    0.22822976E-03    0.13656121E-05                 0       4.73147e-06
    12.50    0.12062879E-01    0.15749289E-04                 0       0.000248042
    17.50    0.21987786E-01    0.19677764E-04                 0       0.000447151
